Source,Target,Weight,W,sign
13,76,0.3266890162216014,-0.3266890162216014,0
29,87,0.32672846154159985,-0.32672846154159985,0
65,58,0.3268084571981718,0.3268084571981718,1
3,85,0.32690256237723203,-0.32690256237723203,0
23,53,0.3271301212664285,-0.3271301212664285,0
68,58,0.32763497935042823,-0.32763497935042823,0
29,67,0.3279665415159932,-0.3279665415159932,0
38,34,0.3280432865215492,0.3280432865215492,1
23,46,0.3281585495075365,0.3281585495075365,1
53,85,0.328344749818979,0.328344749818979,1
12,60,0.32836095131176957,-0.32836095131176957,0
31,32,0.3284146144046999,0.3284146144046999,1
29,64,0.32847408054810556,-0.32847408054810556,0
97,10,0.32890278006305645,0.32890278006305645,1
77,16,0.32932534199017005,0.32932534199017005,1
8,9,0.329437620129724,0.329437620129724,1
78,85,0.32957241204125454,0.32957241204125454,1
32,85,0.32996833929540537,-0.32996833929540537,0
73,91,0.3301009955356636,-0.3301009955356636,0
78,10,0.3304698896691992,-0.3304698896691992,0
6,65,0.33081375027421595,-0.33081375027421595,0
13,51,0.3308249274515999,0.3308249274515999,1
31,1,0.33091255859184243,0.33091255859184243,1
2,15,0.33167127182121847,-0.33167127182121847,0
66,79,0.3316974548114592,-0.3316974548114592,0
73,60,0.3317018572505043,0.3317018572505043,1
63,65,0.3317194274586096,0.3317194274586096,1
43,48,0.33190517037575196,0.33190517037575196,1
38,33,0.3319580162386512,-0.3319580162386512,0
32,80,0.3323823825372926,-0.3323823825372926,0
52,90,0.33238428300915335,-0.33238428300915335,0
82,39,0.3324991384232366,-0.3324991384232366,0
11,42,0.33252204869194935,0.33252204869194935,1
97,13,0.3325236443492139,-0.3325236443492139,0
43,53,0.3326334982873081,0.3326334982873081,1
40,64,0.33329373738391826,0.33329373738391826,1
53,25,0.33332417340476317,-0.33332417340476317,0
34,24,0.3333433506500771,-0.3333433506500771,0
66,91,0.33336756977023774,0.33336756977023774,1
82,58,0.3334344647333559,-0.3334344647333559,0
39,60,0.33386255645110097,0.33386255645110097,1
8,35,0.33400294922777796,0.33400294922777796,1
10,51,0.3342338763982725,-0.3342338763982725,0
28,17,0.33427674477124963,-0.33427674477124963,0
46,24,0.3344593818616738,0.3344593818616738,1
11,4,0.3345438773680057,0.3345438773680057,1
56,74,0.33467635890028846,0.33467635890028846,1
32,41,0.3352263581378486,0.3352263581378486,1
53,33,0.33527965779945285,-0.33527965779945285,0
97,7,0.335606227352604,0.335606227352604,1
22,25,0.3357058638367777,-0.3357058638367777,0
43,18,0.3358010314044917,-0.3358010314044917,0
76,44,0.3358516602525582,-0.3358516602525582,0
92,90,0.3361867518974871,-0.3361867518974871,0
49,41,0.3362101277981957,-0.3362101277981957,0
32,83,0.33643849315766844,0.33643849315766844,1
52,4,0.3369061156260947,-0.3369061156260947,0
31,69,0.3374651308416242,-0.3374651308416242,0
80,10,0.33860864774112276,-0.33860864774112276,0
67,22,0.3386704573105135,-0.3386704573105135,0
2,69,0.33901776337201284,0.33901776337201284,1
27,30,0.33916082636679273,-0.33916082636679273,0
55,78,0.33938113348832594,-0.33938113348832594,0
72,69,0.3397029657188271,0.3397029657188271,1
67,15,0.33971883555597215,0.33971883555597215,1
48,46,0.33978747421280997,0.33978747421280997,1
62,84,0.3398977414262333,-0.3398977414262333,0
68,2,0.34001284382649155,0.34001284382649155,1
77,11,0.340061474224819,-0.340061474224819,0
56,38,0.3401166613193912,0.3401166613193912,1
39,23,0.340216590474578,0.340216590474578,1
3,50,0.3404056064602424,0.3404056064602424,1
0,19,0.3404443981936383,-0.3404443981936383,0
66,49,0.3405145505218082,-0.3405145505218082,0
28,48,0.34120713747182513,0.34120713747182513,1
65,34,0.34128653707924356,0.34128653707924356,1
92,27,0.34165586997752445,0.34165586997752445,1
42,39,0.3419308592458471,-0.3419308592458471,0
47,2,0.34216154388623765,0.34216154388623765,1
43,4,0.3422108160054696,-0.3422108160054696,0
30,48,0.34246325793114407,0.34246325793114407,1
52,78,0.34250033748784847,-0.34250033748784847,0
29,55,0.34289129177646127,0.34289129177646127,1
3,76,0.34340628509318166,0.34340628509318166,1
45,6,0.34346348534804405,0.34346348534804405,1
0,30,0.343472847107689,0.343472847107689,1
2,43,0.34365889990989074,-0.34365889990989074,0
28,40,0.34373042992801833,0.34373042992801833,1
18,64,0.3437490306795775,-0.3437490306795775,0
54,24,0.34403587224333076,0.34403587224333076,1
73,21,0.34415439607040643,0.34415439607040643,1
68,85,0.3447672379921226,-0.3447672379921226,0
17,44,0.34496926280077617,-0.34496926280077617,0
83,60,0.34503328737329186,-0.34503328737329186,0
4,15,0.34542388956812814,-0.34542388956812814,0
77,85,0.3456095015045311,-0.3456095015045311,0
53,42,0.3456319058660876,-0.3456319058660876,0
50,81,0.34566208439502044,0.34566208439502044,1
96,11,0.3463112005184035,0.3463112005184035,1
34,25,0.3464036878968258,0.3464036878968258,1
5,71,0.34655711989274995,-0.34655711989274995,0
26,21,0.3466245820651891,0.3466245820651891,1
56,33,0.34699811479937726,0.34699811479937726,1
23,36,0.3470442882402439,0.3470442882402439,1
48,30,0.3472734105266249,0.3472734105266249,1
96,44,0.3474033047945221,-0.3474033047945221,0
47,63,0.34748051674125097,-0.34748051674125097,0
34,79,0.34796310460086294,0.34796310460086294,1
29,65,0.3482738494446567,-0.3482738494446567,0
89,39,0.3483282243915649,0.3483282243915649,1
6,81,0.34843074620421477,-0.34843074620421477,0
38,8,0.3485529425041591,-0.3485529425041591,0
89,18,0.34856736820355605,-0.34856736820355605,0
3,83,0.349010033914475,-0.349010033914475,0
2,10,0.34913819381771405,0.34913819381771405,1
40,41,0.34953995011396527,-0.34953995011396527,0
5,81,0.34973056128839636,-0.34973056128839636,0
37,28,0.35048003702853137,-0.35048003702853137,0
70,45,0.3508141808075493,0.3508141808075493,1
59,60,0.35085804998032066,-0.35085804998032066,0
20,4,0.3509038850708487,-0.3509038850708487,0
3,2,0.350985073240074,-0.350985073240074,0
19,70,0.35105708256552287,0.35105708256552287,1
63,77,0.35105878775410015,0.35105878775410015,1
71,2,0.3515881985333601,0.3515881985333601,1
62,4,0.351974489924572,-0.351974489924572,0
27,77,0.3519892144055792,0.3519892144055792,1
61,3,0.35205541915309385,0.35205541915309385,1
56,46,0.35206065854692137,0.35206065854692137,1
22,20,0.35231459161175593,0.35231459161175593,1
79,41,0.35232517052387397,0.35232517052387397,1
16,79,0.35243314470733095,-0.35243314470733095,0
31,68,0.3526152442564857,-0.3526152442564857,0
63,88,0.3526856981393277,0.3526856981393277,1
2,9,0.35293632794658936,0.35293632794658936,1
56,25,0.35304523206299976,0.35304523206299976,1
58,25,0.3532134615177184,0.3532134615177184,1
9,28,0.35325367628076443,-0.35325367628076443,0
12,33,0.35329248835752625,0.35329248835752625,1
1,17,0.3535724531459653,0.3535724531459653,1
61,38,0.3540333850820629,0.3540333850820629,1
19,64,0.3540805200238697,-0.3540805200238697,0
38,42,0.35427111698494473,-0.35427111698494473,0
74,18,0.35429858248333546,0.35429858248333546,1
26,28,0.3543548901878862,0.3543548901878862,1
57,69,0.35435707134791317,0.35435707134791317,1
47,10,0.3549106171801613,-0.3549106171801613,0
59,42,0.3551184830502327,-0.3551184830502327,0
22,81,0.3551753266571148,-0.3551753266571148,0
96,85,0.3552414954398848,-0.3552414954398848,0
31,47,0.35538706268171627,-0.35538706268171627,0
96,93,0.3559789344858866,0.3559789344858866,1
80,87,0.35601805190655367,0.35601805190655367,1
19,49,0.35615049346694627,0.35615049346694627,1
29,33,0.3562012785530464,-0.3562012785530464,0
82,6,0.3563801467874429,0.3563801467874429,1
17,76,0.35652361891932044,0.35652361891932044,1
40,53,0.35659992568911153,-0.35659992568911153,0
29,39,0.35703895173126526,0.35703895173126526,1
94,65,0.35744292332550043,-0.35744292332550043,0
56,51,0.3575721545475305,-0.3575721545475305,0
97,39,0.3577693017516635,0.3577693017516635,1
9,5,0.35836534336373926,0.35836534336373926,1
22,11,0.358426501355035,-0.358426501355035,0
59,2,0.3588441479200148,-0.3588441479200148,0
89,16,0.35907513643709177,-0.35907513643709177,0
41,46,0.3592600231888761,0.3592600231888761,1
